STATION,LATITUDE,LONGITUDE,ELEVATION,DATE,CDSD,CLDD,DP01,DP10,DSND,DSNW,DT00,DT32,DX32,DX70,DX90,EMNT,EMSD,EMSN,EMXP,EMXT,FZF0,FZF1,FZF2,FZF3,FZF4,FZF5,FZF6,FZF7,FZF8,FZF9,HDSD,HTDD,PRCP,SNOW,TAVG,TMAX,TMIN
USC00200230,42.29806,-83.66388,247.8,1937,705,705,123,75,42,6,0,148,49,121,10,1,5,3.5,1.84,92,27,27,24,18,16,28,28,24,10,10,6410,6410,35.33,17.7,48.4,57.1,39.8
USC00200230,42.29806,-83.66388,247.8,1938,742,742,133,68,56,8,1,129,43,151,9,-1,4,2.8,1.22,92,32,28,24,19,11,31,26,21,18,10,6236,6236,27.18,21.4,50.8,60.2,41.4
USC00200230,42.29806,-83.66388,247.8,1939,940,940,127,63,39,9,0,142,45,155,18,2,12,6.2,1.81,98,32,24,24,16,16,32,25,19,19,9,6177,6177,26.56,32.2,50.3,59.7,40.9
USC00200230,42.29806,-83.66388,247.8,1940,714,714,156,83,74,20,2,143,64,125,15,-12,7,4.3,1.22,99,31,25,20,20,16,31,24,24,18,13,6889,6889,32.87,45.7,47.4,55.8,39.1
USC00200230,42.29806,-83.66388,247.8,1941,869,869,133,69,34,8,0,128,54,152,17,6,3,3.5,1.21,99,29,28,24,20,15,32,28,24,20,12,6366,6366,27.91,22.5,50.6,59.7,41.6
USC00200230,42.29806,-83.66388,247.8,1942,722,722,138,75,57,9,7,145,52,143,7,-9,7,4.2,1.82,95,31,28,17,17,9,32,28,24,11,11,5991,5991,36.97,29.3,49,58,40.1
USC00200230,42.29806,-83.66388,247.8,1943,735,735,116,71,43,9,6,146,50,130,7,-11,14,4.8,2.59,94,32,27,20,20,16,27,27,23,20,8,6741,6741,36.06,29.9,47.9,57.1,38.6
USC00200230,42.29806,-83.66388,247.8,1944,916,916,122,71,36,8,0,139,51,143,20,1,9,5.5,2.14,97,30,23,23,16,16,32,28,22,20,12,6707,6707,27.06,30.3,49.6,58.4,40.7
USC00200230,42.29806,-83.66388,247.8,1945,583,583,144,73,70,2,3,121,61,122,2,-5,12,3,1.59,91,32,27,24,20,13,31,28,21,20,7,6271,6271,36.55,12.8,48.3,56.8,39.8
USC00200230,42.29806,-83.66388,247.8,1946,493,493,104,58,17,4,2,112,28,136,2,-2,3,2.8,1.37,96,31,23,23,15,15,29,28,20,20,12,6025,6025,23.71,10.2,50.1,60.3,40
USC00200230,42.29806,-83.66388,247.8,1947,699,699,97,63,,6,2,153,62,129,14,-2,,3.5,2.4,94,32,28,24,20,14,32,27,23,19,12,6577,6577,25.6,18.7,47.5,56,39
USC00200230,42.29806,-83.66388,247.8,1948,691,691,93,66,50,5,4,125,60,122,7,-8,4,2,1.56,97,32,28,22,17,8,31,26,18,18,9,6649,6649,29.31,11.3,48.9,57.4,40.4
USC00200230,42.29806,-83.66388,247.8,1949,884,884,95,68,18,5,0,130,34,144,19,2,6,5,2.1,95,31,23,23,20,15,28,28,20,20,13,5966,5966,33.72,16.3,50.8,60.2,41.4
USC00200230,42.29806,-83.66388,247.8,1950,,,114,73,,,,,,,,,,,1.91,,,,,,,,,,,,6298,6298,37.02,,,,
USC00200230,42.29806,-83.66388,247.8,1951,507,507,110,80,54,16,7,136,46,142,1,-9,16,7,2.85,92,31,24,24,14,14,31,19,19,19,16,,,34.89,54.4,48.1,56.9,39.2
USC00200230,42.29806,-83.66388,247.8,1952,870,870,110,63,34,9,0,129,31,136,27,6,7,4.3,1.48,95,32,28,23,20,14,28,28,22,20,16,6485,6485,27.54,27.2,50.6,59.7,41.6
USC00200230,42.29806,-83.66388,247.8,1953,,,110,58,29,7,0,118,27,150,22,5,3,2,1.63,98,31,22,22,19,11,27,27,23,20,13,5941,5941,24.61,19.2,51.4,60.8,42
USC00200230,42.29806,-83.66388,247.8,1956,712,712,125,84,57,8,0,138,28,136,10,5,8,3.7,2.35,99,32,27,23,11,11,30,26,24,13,13,,,28.09,28.9,49.4,59.1,39.7
USC00200230,42.29806,-83.66388,247.8,1957,710,710,98,77,44,8,1,135,36,145,13,-7,8,8,1.47,95,29,22,22,20,7,31,27,23,18,13,6076,6076,34.37,27.7,49.7,59.1,40.4
USC00200230,42.29806,-83.66388,247.8,1958,560,560,98,61,51,6,2,131,47,150,2,-7,5,3,2.01,92,30,28,24,18,7,29,27,23,17,8,6252,6252,22.39,17.8,48.7,58.3,39
USC00200230,42.29806,-83.66388,247.8,1959,974,974,113,67,,,3,141,37,149,20,-3,,,2.38,94,30,28,23,11,11,31,21,21,19,4,6500,6500,35.46,,50.1,59.8,40.3
USC00200230,42.29806,-83.66388,247.8,1960,601,601,115,60,58,15,4,144,66,152,6,-12,10,3.5,2.21,98,30,26,24,20,16,32,24,24,20,8,6542,6542,28.32,31.9,48.3,58.1,38.6
USC00200230,42.29806,-83.66388,247.8,1962,827,827,112,65,80,14,9,141,50,154,15,-6,10,5,1.58,95,29,26,15,15,15,19,19,19,19,16,6214,6214,25.55,38.3,49.5,59.2,39.8
